ID	Number_DAs	Success_DAs	Challenge	Group
0002-YK86	59	32	ELM1R	WT
0002-YK86	60	33	ELM1R	WT
0002-YK86	61	33	ELM1R	WT
0002-YK86	62	34	ELM1R	WT
0002-YK86	63	34	ELM1R	WT
0002-YK86	64	34	ELM1R	WT
0002-YK86	65	35	ELM1R	WT
0002-YK86	66	36	ELM1R	WT
0002-YK86	67	36	ELM1R	WT
0002-YK86	68	36	ELM1R	WT
0002-YK86	69	37	ELM1R	WT
0002-YK86	70	38	ELM1R	WT
0002-YK86	71	39	ELM1R	WT
0002-YK86	72	39	ELM1R	WT
0002-YK86	73	40	ELM1R	WT
0002-YK86	74	41	ELM1R	WT
0002-YK86	75	42	ELM1R	WT
0002-YK86	76	42	ELM1R	WT
0002-YK86	77	43	ELM1R	WT
0002-YK86	78	44	ELM1R	WT
0002-YK86	79	45	ELM1R	WT
0002-YK86	80	45	ELM1R	WT
0002-YK86	81	45	ELM1R	WT
0002-YK86	82	45	ELM1R	WT
0002-YK86	83	46	ELM1R	WT
0002-YK86	84	47	ELM1R	WT
0002-YK86	85	48	ELM1R	WT
0002-YK86	86	49	ELM1R	WT
0002-YK86	87	50	ELM1R	WT
0002-YK86	88	50	ELM1R	WT
0002-YK86	89	50	ELM1R	WT
0002-YK86	90	50	ELM1R	WT
0002-YK86	91	51	ELM1R	WT
0002-YK86	92	52	ELM1R	WT
0002-YK86	93	52	ELM1R	WT
0002-YK86	94	52	ELM1R	WT
0002-YK86	95	53	ELM1R	WT
0002-YK86	96	54	ELM1R	WT
0002-YK86	97	54	ELM1R	WT
0002-YK86	98	54	ELM1R	WT
0002-YK86	99	55	ELM1R	WT
0002-YK86	100	56	ELM1R	WT
0002-YK86	101	56	ELM1R	WT
0002-YK86	102	57	ELM1R	WT
0002-YK86	103	57	ELM1R	WT
0002-YK86	104	57	ELM1R	WT
0002-YK86	105	58	ELM1R	WT
0002-YK86	106	59	ELM1R	WT
0002-YK86	107	59	ELM1R	WT
0002-YK86	108	60	ELM1R	WT
0002-YK86	109	60	ELM1R	WT
0002-YK86	110	60	ELM1R	WT
0002-YK86	111	60	ELM1R	WT
0002-YK86	112	61	ELM1R	WT
0002-YK86	113	62	ELM1R	WT
0002-YK86	114	63	ELM1R	WT
0002-YK86	1	1	ELM2A	WT
0002-YK86	2	1	ELM2A	WT
0002-YK86	3	1	ELM2A	WT
0002-YK86	4	2	ELM2A	WT
0002-YK86	5	2	ELM2A	WT
0002-YK86	6	2	ELM2A	WT
0002-YK86	7	2	ELM2A	WT
0002-YK86	8	3	ELM2A	WT
0002-YK86	9	4	ELM2A	WT
0002-YK86	10	4	ELM2A	WT
0002-YK86	11	4	ELM2A	WT
0002-YK86	12	4	ELM2A	WT
0002-YK86	13	4	ELM2A	WT
0002-YK86	14	4	ELM2A	WT
0002-YK86	15	4	ELM2A	WT
0002-YK86	16	5	ELM2A	WT
0002-YK86	17	6	ELM2A	WT
0002-YK86	18	7	ELM2A	WT
0002-YK86	19	7	ELM2A	WT
0002-YK86	20	7	ELM2A	WT
0002-YK86	21	7	ELM2A	WT
0002-YK86	22	7	ELM2A	WT
0002-YK86	23	7	ELM2A	WT
0002-YK86	24	7	ELM2A	WT
0002-YK86	25	7	ELM2A	WT
0002-YK86	26	7	ELM2A	WT
0002-YK86	27	7	ELM2A	WT
0002-YK86	28	7	ELM2A	WT
0002-YK86	29	8	ELM2A	WT
0002-YK86	30	8	ELM2A	WT
0002-YK86	31	8	ELM2A	WT
0002-YK86	32	9	ELM2A	WT
0002-YK86	33	10	ELM2A	WT
0002-YK86	34	11	ELM2A	WT
0002-YK86	35	12	ELM2A	WT
0002-YK86	36	13	ELM2A	WT
0002-YK86	37	14	ELM2A	WT
0002-YK86	38	14	ELM2A	WT
0002-YK86	39	14	ELM2A	WT
0002-YK86	40	15	ELM2A	WT
0002-YK86	41	16	ELM2A	WT
0002-YK86	42	17	ELM2A	WT
0002-YK86	43	18	ELM2A	WT
0002-YK86	44	19	ELM2A	WT
0002-YK86	45	20	ELM2A	WT
0002-YK86	46	20	ELM2A	WT
0002-YK86	47	21	ELM2A	WT
0002-YK86	48	22	ELM2A	WT
0002-YK86	49	23	ELM2A	WT
0002-YK86	50	24	ELM2A	WT
0002-YK86	51	25	ELM2A	WT
0002-YK86	52	26	ELM2A	WT
0002-YK86	53	26	ELM2A	WT
0002-YK86	54	27	ELM2A	WT
0002-YK86	55	27	ELM2A	WT
0002-YK86	56	28	ELM2A	WT
0002-YK86	57	29	ELM2A	WT
0002-YK86	58	29	ELM2A	WT
0002-YK86	59	30	ELM2A	WT
0002-YK86	60	31	ELM2A	WT
0002-YK86	61	32	ELM2A	WT
0002-YK86	62	33	ELM2A	WT
0002-YK86	63	34	ELM2A	WT
0002-YK86	64	34	ELM2A	WT
0002-YK86	65	35	ELM2A	WT
0002-YK86	66	35	ELM2A	WT
0002-YK86	67	36	ELM2A	WT
0002-YK86	68	37	ELM2A	WT
0002-YK86	69	37	ELM2A	WT
0002-YK86	70	38	ELM2A	WT
0002-YK86	71	39	ELM2A	WT
0002-YK86	72	40	ELM2A	WT
0002-YK86	73	41	ELM2A	WT
0002-YK86	74	42	ELM2A	WT
0002-YK86	75	43	ELM2A	WT
0002-YK86	76	43	ELM2A	WT
0002-YK86	77	44	ELM2A	WT
0002-YK86	78	44	ELM2A	WT
0002-YK86	79	44	ELM2A	WT
0002-YK86	80	45	ELM2A	WT
0002-YK86	81	45	ELM2A	WT
0002-YK86	82	46	ELM2A	WT
0002-YK86	83	47	ELM2A	WT
0002-YK86	84	48	ELM2A	WT
0002-YK86	85	48	ELM2A	WT
0002-YK86	86	49	ELM2A	WT
0002-YK86	87	49	ELM2A	WT
0002-YK86	88	49	ELM2A	WT
0002-YK86	89	49	ELM2A	WT
